"Reference","Value","Datasheet","Footprint","Qty","DNP"
"A1","Arduino_Nano_v3.x","http://www.mouser.com/pdfdocs/Gravitech_Arduino_Nano3_0.pdf","Module:Arduino_Nano","1",""
"BT1","Battery_Cell","https://media.digikey.com/pdf/Data%20Sheets/Memory%20Protection%20PDFs/Coin_Cell_Guide.pdf","footprints:BatteryHolder_Keystone_106_1x20mm","1",""
"C1,C9,C10","1u","~","-- mixed values --","3",""
"C2,C18",".01u","~","Capacitor_SMD:CP_Elec_6.3x3","2",""
"C3,C4,C5,C6,C7,C8","100n","~","EMS_lib:K104K15X7RF53H5","6",""
"C11,C12,C13,C16","C_0805_0.1uf","https://datasheets.avx.com/X7RDielectric.pdf","footprints:C_0805_2012Metric","4",""
"C14,C15","22p","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GP_NP0_16V-to-50V_18.pdf","footprints:C_0805_2012Metric","2",""
"C17,C20","C_Polarized","~","","2",""
"D1","LED_0805","https://www.we-online.de/katalog/datasheet/150080RS75000.pdf","footprints:LED_0805_2012Metric","1",""
"D2,D3","LED","~","EMS_lib:WL-TMRC_3MM","2",""
"D5","1N5820","http://www.vishay.com/docs/88526/1n5820.pdf","Diode_THT:D_DO-201AD_P15.24mm_Horizontal","1",""
"IC1,IC2,IC3,IC4","LH1546ADF","","EMS_lib:SOP254P980X425-4N","4",""
"IC5","KF33BDT-TR","http://www.st.com/web/en/resource/technical/document/datasheet/CD00000970.pdf","EMS_lib:TO228P972X240-3N","1",""
"J1","1720430202","","EMS_lib:MOLEX_1720430202","1",""
"J2,J3","5-103166-1","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F103166%7FK3%7Fpdf%7FEnglish%7FENG_CD_103166_K3.pdf%7F5-103166-1","EMS_lib:5-103166-1","2",""
"J4","~","","EMS_lib:FFC_I2C_General","1",""
"J5","Conn_01x06","https://www.we-online.de/katalog/datasheet/6130xx11121.pdf","footprints:PinHeader_1x06_P2.54mm_Vertical","1",""
"J7","Conn_02x03_Odd_Even","https://drawings-pdf.s3.amazonaws.com/11636.pdf","footprints:PinHeader_2x03_P2.54mm_Vertical","1",""
"L1","68u","~","","1",""
"PS1","IA0503D","https://www.xppower.com/pdfs/SF_IA.pdf","Converter_DCDC:Converter_DCDC_XP_POWER-IAxxxxD_THT","1",""
"Q1,Q2,Q3,Q4","STD25NF20","https://componentsearchengine.com/Datasheets/1/STD25NF20.pdf","EMS_lib:STD25NF20","4",""
"R1,R2,R6,R7","220","~","Resistor_SMD:R_0805_2012Metric","4",""
"R3,R4,R13,R14","1K","~","Resistor_SMD:R_0805_2012Metric","4",""
"R5,R8","1.5M","~","Resistor_SMD:R_0805_2012Metric","2",""
"R9","4.7K","~","Resistor_SMD:R_0805_2012Metric","1",""
"R10","4.7k","~","Resistor_SMD:R_0805_2012Metric","1",""
"R11,R12","1k","~","Resistor_SMD:R_0805_2012Metric","2",""
"R17","10KÎ©","https://www.digikey.com/en/products/detail/yageo/RC0805FR-0710KL/727535","footprints:R_0805_2012Metric","1",""
"R18","R_0805_2.2K","https://www.digikey.com/en/products/detail/yageo/RC0805FR-072K2L/727676","footprints:R_0805_2012Metric","1",""
"RX_TP1,TX_TP1,VBAT_TP1","TestPoint","~","footprints:TestPoint_THTPad_D2.0mm_Drill1.0mm","3",""
"SW1","Omron_B3F_SPST","https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3fs.pdf","footprints:SW_SPST_Omron_B3FS-100xP","1",""
"SW2,SW3","SW_Push","~","Button_Switch_SMD:SW_Push_1P1T_NO_CK_PTS125Sx43PSMTR","2",""
"U1","AD5252BRUZ10-RL7","","EMS_lib:SOP65P640X120-14N","1",""
"U2,U3","VOM1271T","","EMS_lib:SOIC254P695X242-4N","2",""
"U4","ATmega328-PU","http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en608326","footprints:DIP-28_W7.62mm","1",""
"U5","DS1307_DIP-8","https://datasheets.maximintegrated.com/en/ds/DS1307.pdf","footprints:DIP-8_W7.62mm","1",""
"U6","XL1509-5.0","https://datasheet.lcsc.com/lcsc/1809050422_XLSEMI-XL1509-5-0E1_C61063.pdf","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1",""
"U7","74AUC1G79","http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf","","1",""
"Y1","Crystal 16MHZ","https://ecsxtal.com/store/pdf/csm-7x-dn.pdf","footprints:Crystal_SMD_HC49-SD","1",""
"Y2","Crystal_32768Hz","https://www.jauch.com/downloadfile/57fde22d50dbf_d3c203011c87952f2834/jtx310-auto-2-210512.pdf","footprints:Crystal_SMD_2Pin_3.2x1.5mm","1",""
